Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
33,47,Qué Agonía,Yuridia & Ángela Aguilar,5,13333431,12.8%,https://www.youtube.com/watch?v=Q8xIa7KcI1A
34,,Maan Meri Jaan,King,1,13237651,,https://www.youtube.com/watch?v=VuG7ge_8I2Y
35,35,Daku (feat. Inderpal Moga),Chani Nattan,5,13097281,-9.9%,https://www.youtube.com/watch?v=WOdnRhWeHoY
36,,Let It Go,Idina Menzel,38,13016361,,https://www.youtube.com/watch?v=L0MK7qz13bU
37,43,قلبي,Yaser Abd Alwahab,3,12971960,6.3%,https://www.youtube.com/watch?v=gnMdTTeY1FY
38,32,Miss You,Oliver Tree & Robin Schulz,5,12827897,-19.3%,https://www.youtube.com/watch?v=BX0lKSa_PTk
39,52,दिलवा ले गईले राजा,Shilpi Raj,10,12787292,12.7%,https://www.youtube.com/watch?v=5kJMtNWUytY
40,15,Hayya Hayya (Better Together),"Trinidad Cardona, Davido & AISHA",3,12673150,-32.7%,https://www.youtube.com/watch?v=vyDjFVZgJoo
41,38,PROVENZA,KAROL G,32,12628521,-4.5%,https://www.youtube.com/watch?v=ca48oMV59LU
42,25,달려라 방탄 (Live),BTS,9,12620283,-26.3%,https://www.youtube.com/watch?v=Cb70gcTVvYI
43,42,I'm Good (Blue),David Guetta & Bebe Rexha,10,12419556,0.5%,https://www.youtube.com/watch?v=90RLzVUuXe4
44,,Until I Found You,Stephen Sanchez,26,12412394,,https://www.youtube.com/watch?v=GxldQ9eX2wo
45,45,死ぬのがいいわ,Fujii Kaze,13,12230077,0.7%,https://www.youtube.com/watch?v=3zh9Wb1KuW8
46,57,नचनिया कारन,Khesari Lal Yadav,4,12223941,15.2%,https://www.youtube.com/watch?v=t4Wjrssbob8
47,,JS4E,Arcangel,1,12201601,,https://www.youtube.com/watch?v=rAr3-Pn9yRI
48,40,Feliz Cumpleaños Ferxxo,Feid,12,12023094,-4.3%,https://www.youtube.com/watch?v=jRxDUsGmwuc
49,64,Care Bebek,Jegeg Bulan,2,11906549,17.8%,https://www.youtube.com/watch?v=CX51e00-vto
50,44,PUNTO 40,Rauw Alejandro & Baby Rasta,7,11515332,-5.3%,https://www.youtube.com/watch?v=rhctf92wgqU
51,39,Lift Me Up,Rihanna,5,11503920,-12.6%,https://www.youtube.com/watch?v=Mx_OexsUI2M
